Utgiftsområde;Utgiftsområdesnamn;Anslag;Anslagsnamn;År;Ingående överföringsbelopp;Statens budget;Ändringsbudgetar;Indragningar;Utnyttjad del av medgivet överskridande;Utfall;Anslagskredit;Utgående överföringsbelopp;Utgiftsområde utfallsår;Utgiftsområdesnamn utfallsår;Anslag utfallsår;Anslagsnamn utfallsår
;Utgiftstak;;Utgiftstak;1997;;723000;;;;723000;;;;Utgiftstak;;Utgiftstak
;Marginal till utgiftstaket;;Marginal till utgiftstaket;1997;;10501,557;;;;24107,98769888;;;;Marginal till utgiftstaket;;Marginal till utgiftstaket
;Kassamässig korrigering;;Kassamässig korrigering;1997;;86691;;;;-1960,878;;;;Kassamässig korrigering;;Kassamässig korrigering
;Ålderspensionssystemet vid sidan av statens budget;;Ålderspensionssystemet vid sidan av statens budget;1997;;131957;;;;129707;;;;Ålderspensionssystemet vid sidan av statsbudgeten;;Ålderspensionssystemet vid sidan av statsbudgeten
;Riksgäldskontorets nettoutlåning;;Riksgäldskontorets nettoutlåning;1997;;-93605;;;;-10435;;;;Riksgäldskontorets nettoutlåning;;Riksgäldskontorets nettoutlåning
;Förändring av anslagsbehållningar;;Förändring av anslagsbehållningar exkl. UO 26;1997;;6000;;;;;;;;Förändring av anslagsbehållningar;;Förändring av anslagsbehållningar
01;Rikets styrelse;0101001;Kungliga hov- och slottsstaten;1997;30,122;73,7;;-30,122;;73,726;;-0,026;01;Rikets styrelse;01A001;Kungliga hov- och slottsstaten
01;Rikets styrelse;0102001;Riksdagens ledamöter och partier m.m.;1997;;428,436;;;;420,03320694;;8,40279306;01;Rikets styrelse;01B001;Riksdagens ledamöter och partier m m
01;Rikets styrelse;0102002;Riksdagens förvaltningsanslag;1997;52,59697154;377,077;;;;359,14767964;;70,5262919;01;Rikets styrelse;01B002;Riksdagens förvaltningskostnader
01;Rikets styrelse;0102004;Riksdagens ombudsmän (JO);1997;2,17044632;35,074;;;;35,16654262;;2,0779037;01;Rikets styrelse;01B003;Riksdagens ombudsmän, Justitieombudsmännen
01;Rikets styrelse;0103001;Sametinget;1997;0,97177983;10,497;2;;;14,30640929;;-0,83762946;01;Rikets styrelse;01D003;Sametinget
01;Rikets styrelse;0104001;Regeringskansliet m.m.;1997;452,25823369;1944,624;;102;;2093,98865961;;404,89357408;01;Rikets styrelse;01C001;Regeringskansliet m m
01;Rikets styrelse;0105001;Länsstyrelserna m.m.;1997;179,89759732;1720,847;;;;1778,2478605;;122,49673682;18;Samhällsplanering, bostadsförsörjning och byggande;18C001;Länsstyrelserna m m
01;Rikets styrelse;0106001;Allmänna val och demokrati;1997;;48;;;;24,12625121;;23,87374879;01;Rikets styrelse;01C003;Allmänna val
01;Rikets styrelse;0106002;Justitiekanslern;1997;0,43758962;8,739;;;;8,29048122;;0,8861084;01;Rikets styrelse;01D001;Justitiekanslern
01;Rikets styrelse;0106003;Integritetsskyddsmyndigheten;1997;2,50730324;23,444;;;;23,21691728;;2,73438596;01;Rikets styrelse;01D002;Datainspektionen
01;Rikets styrelse;0106004 2017;Svensk författningssamling;1997;;1,011;;;;0,95625;;0,05475;01;Rikets styrelse;01C002;Svensk författningssamling
01;Rikets styrelse;0106005;Stöd till politiska partier;1997;;145,2;;;;105,524252;;39,675748;01;Rikets styrelse;01C004;Stöd till politiska partier
01;Rikets styrelse;0108001;Mediestöd;1997;;541,579;-20;;;535,850637;;-14,271637;01;Rikets styrelse;01E002;Presstöd
01;Rikets styrelse;0108001 2015;Presstödsnämnden;1997;0,89654751;5,536;;;;4,79788959;;1,63465792;01;Rikets styrelse;01E001;Presstödsnämnden och taltidningsnämnden
01;Rikets styrelse;0108003 2010;Stöd till radio- och kassettidningar;1997;;123,7;;;;107,2608411;;16,4391589;01;Rikets styrelse;01E003;Stöd till radio- och kassettidningar
01;Rikets styrelse;0108004 2010;Radio- och TV-verket;1997;2,97965383;8,016;;;;6,88540723;;4,1102466;01;Rikets styrelse;01E004;Radio- och TV-verket
01;Rikets styrelse;0108005 2010;Granskningsnämnden för radio och TV;1997;1,91741376;6,671;;;;6,93502576;;1,653388;01;Rikets styrelse;01E005;Granskningsnämnden för radio och TV
01;Rikets styrelse;01B002 9596;Samarbete och utveckling inom Östersjöregionen;1997;1000;;;;;76,56457179;;923,43542821;01;Rikets styrelse;01B002 9596;Samarbete och utveckling inom Östersjöregionen
02;Samhällsekonomi och finansförvaltning;0201001;Statskontoret;1997;13,43408357;59,325;;;;61,22173946;;11,53734411;02;Samhällsekonomi och finansförvaltning;02A003;Statskontoret
02;Samhällsekonomi och finansförvaltning;0201002;Kammarkollegiet;1997;11,05316698;22,277;;;;22,98597815;;10,34418883;02;Samhällsekonomi och finansförvaltning;02A019;Kammarkollegiet
02;Samhällsekonomi och finansförvaltning;0201004;Arbetsgivarpolitiska frågor;1997;6,567135;3;-2,5;-3;;1,04948956;;3,01764544;14;Arbetsmarknad och arbetsliv;14D001;Stabsuppgifter vid Arbetsgivarverket
02;Samhällsekonomi och finansförvaltning;0201005;Statliga tjänstepensioner m.m.;1997;;8027;;;;8144,19622602;;-117,19622602;14;Arbetsmarknad och arbetsliv;14D003;Statliga tjänstepensioner m m
02;Samhällsekonomi och finansförvaltning;0201007;Konjunkturinstitutet;1997;0,91528317;29,208;1;;;29,75472548;;1,36855769;02;Samhällsekonomi och finansförvaltning;02A001;Konjunkturinstitutet
02;Samhällsekonomi och finansförvaltning;0201009;Statistiska centralbyrån;1997;8,65077856;328,802;;;;325,33081287;;12,12196569;02;Samhällsekonomi och finansförvaltning;02A004;Statistiska centralbyrån
02;Samhällsekonomi och finansförvaltning;0201011;Finansinspektionen;1997;-2,35118749;110,105;1,5;;;104,47671561;;4,7770969;02;Samhällsekonomi och finansförvaltning;02A006;Finansinspektionen
02;Samhällsekonomi och finansförvaltning;0201012;Riksgäldskontoret;1997;10,17395505;83,348;2,5;;;71,97319513;;24,04875992;02;Samhällsekonomi och finansförvaltning;02A008;Riksgäldskontoret: Förvaltningskostnader
02;Samhällsekonomi och finansförvaltning;0201013;Bokföringsnämnden;1997;;4,468;;;;4,237223;;0,230777;02;Samhällsekonomi och finansförvaltning;02A016;Bokföringsnämnden
02;Samhällsekonomi och finansförvaltning;020104 2008;Täckning av merkostnader för lokaler;1997;;19,5;;;;16,02657672;;3,47342328;02;Samhällsekonomi och finansförvaltning;02A012;Täckning av merkostnader för lokaler
02;Samhällsekonomi och finansförvaltning;020106 2003;Folk- och bostadsstatistik;1997;20,1144376;70;;;;22,24722546;;67,86721214;02;Samhällsekonomi och finansförvaltning;02A005;Folk- och bostadsräkning
02;Samhällsekonomi och finansförvaltning;020107 2007;Nämnden för offentlig upphandling;1997;4,83805063;6,348;;;;8,2529133;;2,93313733;02;Samhällsekonomi och finansförvaltning;02A013;Nämnden för offentlig upphandling
02;Samhällsekonomi och finansförvaltning;020109 2007;Ekonomiska rådet;1997;;1,705;;;;1,41411979;;0,29088021;02;Samhällsekonomi och finansförvaltning;02A014;Ekonomiska rådet
02;Samhällsekonomi och finansförvaltning;020111 2003;Utvecklingsarbete;1997;33,5775306;32,57;;;;26,11385194;;40,03367866;02;Samhällsekonomi och finansförvaltning;02A018;Utvecklingsarbete
02;Samhällsekonomi och finansförvaltning;020114 2003;Riksrevisionsverket;1997;3,51525478;177,167;;;;159,37033582;;21,31191896;02;Samhällsekonomi och finansförvaltning;02A002;Riksrevisionsverket
02;Samhällsekonomi och finansförvaltning;020201 2001;Riksgäldskontoret: Garantiverksamhet;1997;;0,001;;;;;;0,001;02;Samhällsekonomi och finansförvaltning;02A010;Riksgäldskontoret: Garantiverksamhet
02;Samhällsekonomi och finansförvaltning;020202 2007;Insättningsgarantinämnden;1997;14,34343965;2;;;;1,5903145;;14,75312515;02;Samhällsekonomi och finansförvaltning;02A007;Insättningsgarantinämnden
02;Samhällsekonomi och finansförvaltning;020205;Avgift för Stadshypotekskassans grundfond;1997;;60;-10;;;19,60485236;;30,39514764;02;Samhällsekonomi och finansförvaltning;02B004;Försäljning av aktier i Stadshypotek AB
02;Samhällsekonomi och finansförvaltning;029002 2003;Riksdagens revisorer;1997;0,52583019;16,151;;;;16,81638767;;-0,13955748;02;Samhällsekonomi och finansförvaltning;02C001;Riksdagens revisorer och deras kansli
04;Rättsväsendet;02A005 9596;Information och upplysning om ekonomisk brottslighet;1997;6,25770821;;;;;1,29021414;;4,96749407;04;Rättsväsendet;02A005 9596;Information och upplysning om ekonomisk brottslighet
04;Rättsväsendet;02A006 9596;Bidrag till brottsförebyggande arbete;1997;10,8;;;;;0;;10,8;04;Rättsväsendet;02A006 9596;Bidrag till brottsförebyggande arbete
02;Samhällsekonomi och finansförvaltning;02A011 1997;Statens lokalförsörjningsverk;1997;14,68622322;17,029;;;;20,34092182;;11,3743014;02;Samhällsekonomi och finansförvaltning;02A011;Statens lokalförsörjningsverk
02;Samhällsekonomi och finansförvaltning;02A011 2000;Vissa nämnder m.m.;1997;;1,552;;;;1,25520345;;;02;Samhällsekonomi och finansförvaltning;02A015;Kostnader för vissa nämnder m m
02;Samhällsekonomi och finansförvaltning;02A014 1999;Kontrollfunktionen i staten;1997;;100;;;;25,652;;74,348;02;Samhällsekonomi och finansförvaltning;02A020;Kontrollfunktionen i staten
02;Samhällsekonomi och finansförvaltning;02A017;Bidrag till Stiftelsen för utvecklande av god redovisningssed;1997;;0,8;;;;0,8;;;02;Samhällsekonomi och finansförvaltning;02A017;Bidrag till Stiftelsen för utvecklande av god redovisningssed
02;Samhällsekonomi och finansförvaltning;02B001 1997;Statlig kreditgaranti för bostadsanskaffningslån;1997;;0,2;;;;;;;02;Samhällsekonomi och finansförvaltning;02B001;Statlig kreditgaranti för bostadsanskaffningslån
02;Samhällsekonomi och finansförvaltning;02B001 1998;Åtgätder för att stärks det finansiella systemet;1997;;205;;-14;;55,21;;135,79;02;Samhällsekonomi och finansförvaltning;02B002;Åtgärder för det finansiella systemet
02;Samhällsekonomi och finansförvaltning;02B003;Bidrag till kapitalet i Europeiska investeringsbanken;1997;;860;;;;875,87055049;;-15,87055049;02;Samhällsekonomi och finansförvaltning;02B005;Bidrag till kapitalet i Europeiska investeringsbanken
02;Samhällsekonomi och finansförvaltning;02B003 1997;Statliga ägarinsatser m.m i Nordbanken;1997;;100;;;;31,56164092;;68,43835908;02;Samhällsekonomi och finansförvaltning;02B003;Statliga ägarinsatser m m i Nordbanken
02;Samhällsekonomi och finansförvaltning;02B004 2000;Riksgäldskontoret: Vissa kostnader för upplåning och låneförvaltning, 2000;1997;;1500;-2,5;-907,1422053;;590,35779469;;0,00000001;02;Samhällsekonomi och finansförvaltning;02A009;RGK: Kostnader för upplåning och låneförvaltning
04;Rättsväsendet;02B005 9596;Lokala polisorganisationen;1997;2;;;;;2;;0;04;Rättsväsendet;02B005 9596;Lokala polisorganisationen
02;Samhällsekonomi och finansförvaltning;02B006 1997;Värdering m.m av aktier i VPC AB;1997;;;10;;;0,433351;;9,566649;02;Samhällsekonomi och finansförvaltning;02B006;Värdering m m av aktier i VPC AB
02;Samhällsekonomi och finansförvaltning;02B007 1997;Investeringar i infrastrukturen på den svenska finansmarkanden;1997;;;500;;;;;500;02;Samhällsekonomi och finansförvaltning;02B007;Investeringar i infrastrukturen på den svenska finansmarkanden
03;Skatt, tull och exekution;0301002;Tullverket;1997;109,06055898;1031,858;;;;1043,6668102;;97,25174878;03;Skatteförvaltning och uppbörd;03A003;Tullverket
03;Skatt, tull och exekution;0301003;Kronofogdemyndigheten;1997;214,7174794;1298,135;;-24;;1270,82091393;;218,03156547;04;Rättsväsendet;04E001;Kronofogdemyndigheterna
03;Skatt, tull och exekution;030301 2003;Riksskatteverket;1997;179,87816543;354,505;;-20;;301,78529713;;212,5978683;03;Skatteförvaltning och uppbörd;03A001;Riksskatteverket
03;Skatt, tull och exekution;030302 2003;Skattemyndigheterna;1997;554,64899838;4328,345;;-11;;4389,49104183;;482,50295655;03;Skatteförvaltning och uppbörd;03A002;Skattemyndigheterna
05;Internationell samverkan;03A005 9596;Utredningar m.m.;1997;18,77302889;;;;;3,56486896;;15,20815993;05;Utrikesförvaltning och internationell samverkan;03A005 9596;Utredningar m m
05;Internationell samverkan;03B009 9596;Fredsbevarande verksamhet;1997;126,41027201;;;-17,328;;2,62682434;;106,45544767;05;Utrikesförvaltning och internationell samverkan;03B009 9596;Fredsbevarande verksamhet
07;Internationellt bistånd;03C001 9596;Bidrag till internationella biståndsprogram;1997;54,58171;;;-54,5723;;0,002173;;0,007237;07;Internationellt bistånd;03C001 9596;Bidrag till internationella biståndsprogram
07;Internationellt bistånd;03C002 9596;Utvecklingssamarbete genom Sida;1997;7,280922;;;;;7,03973947;;0,24118253;07;Internationellt bistånd;03C002 9596;Utvecklingssamarbete genom SIDA
07;Internationellt bistånd;03C004 9596;Bidrag till EG:s gemensamma bistånd;1997;90;;;;;;;90;07;Internationellt bistånd;03C004 9596;Bidrag till EG:s gemensamma bistånd
07;Internationellt bistånd;03C006 9596;Nordiska afrikainstitutet;1997;;;;;;0;;0;07;Internationellt bistånd;03C006 9596;Nordiska afrikainstitutet
07;Internationellt bistånd;03C007 9596;Övriga biståndsrelaterade insatser;1997;0,11949;;;-0,11949;;0;;0;07;Internationellt bistånd;03C007 9596;Övriga biståndsrelaterade insatser
07;Internationellt bistånd;03C014 9495;Projektbistånd till vissa länder m.m.;1997;0,99141;;;;;0;;0,99141;07;Internationellt bistånd;03C013 9495;Projektbistånd till vissa länder m m
05;Internationell samverkan;03D001 9596;Svenska institutet;1997;1,6206358;;;;;1,62063613;;-0,00000033;05;Utrikesförvaltning och internationell samverkan;03D001 9596;Svenska institutet
05;Internationell samverkan;03D002 9596;Övrig information om Sverige i utlandet;1997;4,33069448;;;;;2,3699905;;1,96070398;05;Utrikesförvaltning och internationell samverkan;03D002 9596;Övrig information om Sverige i utlandet
24;Näringsliv;03E002 9596;Exportfrämjande verksamhet;1997;5,29365835;;;;;3,524749;;1,76890935;24;Näringsliv;03E002 9596;Exportfrämjande verksamhet
05;Internationell samverkan;03E004 9596;Krigsmaterielinspektionen;1997;3,40544568;;;;;;;3,40544568;05;Utrikesförvaltning och internationell samverkan;03E004 9596;Krigsmaterielinspektionen
05;Internationell samverkan;03E006 9495;Medel för översättning av EG:s regelverk;1997;0,672742;;;;;0,67274;;0,000002;05;Utrikesförvaltning och internationell samverkan;03E006 9495;Medel för översättning av EG:s regelverk
05;Internationell samverkan;03E006 9596;Europainformation m.m;1997;12,8443757;;;;;5,92547391;;6,91890179;05;Utrikesförvaltning och internationell samverkan;03E006 9596;Europainformation m m
05;Internationell samverkan;03F001 9596;Utredningar och andra insatser på det utrikespolitiska områd;1997;2,0285592;;;;;0,59701848;;1,43154072;05;Utrikesförvaltning och internationell samverkan;03F001 9596;Utredningar och andra insatser på det utrikespolitiska områd
05;Internationell samverkan;03F002 9596;Information och studier om säkerhetspolitik;1997;0,08657;;;;;-0,05313873;;0,13970873;05;Utrikesförvaltning och internationell samverkan;03F002 9596;Information och studier om säkerhetspolitik och fredsfrämjan
05;Internationell samverkan;03F006 9596;Forskningsverksamhet av särskild utrikes o säkerhetspolitisk;1997;0,243004;;;;;0,243;;0,000004;05;Utrikesförvaltning och internationell samverkan;03F006 9596;Forskningsverksamhet av särskild utrikes o säkerhetspolitisk
07;Internationellt bistånd;03G001 9596;Samarbete med Central- och Östeuropa genom SIDA;1997;21,912533;;;-3,541173;;13,73500106;;4,63635894;07;Internationellt bistånd;03G001 9596;Samarbete med Central- och Östeuropa genom SIDA
04;Rättsväsendet;0401001;Polismyndigheten;1997;169,686807;10488,194;;;;10876,78092506;;-218,90011806;04;Rättsväsendet;04A001;Polisorganisationen
04;Rättsväsendet;0401002;Säkerhetspolisen;1997;;509,022;;150,215;;458,31621386;;200,92078614;04;Rättsväsendet;04A002;Säkerhetspolisen
04;Rättsväsendet;0401003;Åklagarmyndigheten;1997;-25,930282;627,237;18;;;659,51562614;;-40,20890814;04;Rättsväsendet;04B001;Åklagarväsendet
04;Rättsväsendet;0401005;Sveriges Domstolar;1997;195,4886;2916,184;;;;2953,6263351;;158,0462649;04;Rättsväsendet;04C001;Domstolsväsendet m.m.
04;Rättsväsendet;0401006;Kriminalvården;1997;774,45613078;3837,161;-9;-66,2;;3816,38482123;;720,03230955;04;Rättsväsendet;04D001;Kriminalvården
04;Rättsväsendet;0401007;Brottsförebyggande rådet;1997;3,35389766;25,355;9;;;36,27746572;;1,43143194;04;Rättsväsendet;04F001;Brottsförebyggande rådet
04;Rättsväsendet;0401008;Rättsmedicinalverket;1997;23,28556417;165,728;;;;175,58179605;;13,43176812;04;Rättsväsendet;04F002;Rättsmedicinalverket
04;Rättsväsendet;0401009;Brottsoffermyndigheten;1997;3,49963735;9,5;;;;9,88024193;;3,11939542;04;Rättsväsendet;04F004;Brottsoffermyndigheten
04;Rättsväsendet;0401010;Ersättning för skador på grund av brott;1997;;71,5;;;;61,33721078;;10,16278922;04;Rättsväsendet;04F005;Ersättning för skador på grund av brott
04;Rättsväsendet;0401011;Rättsliga biträden m.m.;1997;;853,972;-14;;;802,81684861;;37,15515139;04;Rättsväsendet;04F006;Rättshjälpskostnader
04;Rättsväsendet;0401012;Kostnader för vissa skaderegleringar m.m.;1997;;10,222;14;;2,083;26,81988016;;-0,51488016;04;Rättsväsendet;04F007;Diverse kostnader för rättsväsendet
04;Rättsväsendet;0401013;Avgifter till vissa internationella sammanslutningar;1997;;3;;;;1,48024413;;1,51975587;04;Rättsväsendet;04F008;Bidrag till internationella sammanslutningar m m
04;Rättsväsendet;0401014;Bidrag till lokalt brottsförebyggande arbete;1997;;7,2;;;;4,128355;;3,071645;04;Rättsväsendet;04F009;Bidrag till brottsförebyggande arbete
06;Försvar och samhällets krisberedskap;04C002 9596;Tekniska åtgärder i ledningssystemet m m;1997;74,98711554;;;;;35,645821;;39,34129454;06;Totalförsvar;04C002 9596;Tekniska åtgärder i ledningssystemet m m
06;Försvar och samhällets krisberedskap;04C003 9596;Civilbefälhavarna;1997;;;;;;12,08807511;;-12,08807511;06;Totalförsvar;04C003 9596;Civilbefälhavarna
06;Försvar och samhällets krisberedskap;04C004 9596;Kompetensutveckling och stöd till länsstyrelserna;1997;;;;;;0;;0;06;Totalförsvar;04C004 9596;Kompetensutveckling och stöd till länsstyrelserna
06;Försvar och samhällets krisberedskap;04F001 9596;Överstyrelsen för civil beredskap: Försörjning med industrivaror;1997;;;;;;0;;0;06;Totalförsvar;04F001 9596;Överstyrelsen för civil beredskap: Försörjning med industrivaror
06;Försvar och samhällets krisberedskap;04F002 9596;ÖCB: Industriella åtgärder;1997;199,43964211;;;;;58,07659727;;141,36304484;06;Totalförsvar;04F002 9596;ÖCB: Industriella åtgärder
06;Försvar och samhällets krisberedskap;04G006 9495;Strategisk försvarsforskning;1997;0,15623173;;;;;;;0,15623173;06;Totalförsvar;04G006 9495;Strategisk försvarsforskning
06;Försvar och samhällets krisberedskap;04G011 9596;Överklagandenämnden för totalförsvaret;1997;1,14137493;;;;;1,16937446;;-0,02799953;06;Totalförsvar;04G011 9596;Överklagandenämnden för totalförsvaret
05;Internationell samverkan;0501001 2010;Bidrag till vissa internationella organisationer;1997;;452,462;;;;267,85428917;;184,60771083;05;Utrikesförvaltning och internationell samverkan;05B001;Bidrag till vissa internationella organisationer
05;Internationell samverkan;0501002;Freds- och säkerhetsfrämjande verksamhet;1997;;150,206;;;;94,74963592;;55,45636408;05;Utrikesförvaltning och internationell samverkan;05B004;Fredsfrämjande verksamhet
05;Internationell samverkan;0501003;Nordiskt samarbete;1997;;1,442;;;;1,05089699;;0,39110301;05;Utrikesförvaltning och internationell samverkan;05A002;Nordiskt samarbete
05;Internationell samverkan;0501004;Ekonomiskt bistånd till enskilda utomlands samt diverse kostnader för rättsväsendet;1997;;4,371;;;;2,45346016;;1,91753984;05;Utrikesförvaltning och internationell samverkan;05A003;Ekonomiskt bistånd till svenska medborgare i utlandet m m
05;Internationell samverkan;0501005;Inspektionen för strategiska produkter;1997;0,5160498;13,857;;;;13,69654244;;0,67650736;05;Utrikesförvaltning och internationell samverkan;05E001;Strategisk exportkontroll
05;Internationell samverkan;0501007;Bidrag till Stockholms internationella fredsforskningsinstitut (SIPRI);1997;;20,571;;;;20,571;;;05;Utrikesförvaltning och internationell samverkan;05D003;Bidrag till Stockholms internationella fredsforskningsinstit
05;Internationell samverkan;0501008;Bidrag till Utrikespolitiska institutet (UI);1997;;10,112;;;;10,112;;;05;Utrikesförvaltning och internationell samverkan;05D005;Utrikespolitiska institutet
05;Internationell samverkan;0501009;Svenska institutet;1997;;55,237;;;;55,11318439;;0,12381561;05;Utrikesförvaltning och internationell samverkan;05C001;Svenska institutet
05;Internationell samverkan;0501010;Information om Sverige i utlandet;1997;;10,266;;;;10,13779923;;0,12820077;05;Utrikesförvaltning och internationell samverkan;05C002;Övrig information om Sverige i utlandet
01;Rikets styrelse;050501 2001;Utrikesförvaltningen;1997;717,84954943;1667,384;;-335;;1654,67873332;;395,55481611;05;Utrikesförvaltning och internationell samverkan;05A001;Utrikesförvaltningen
05;Internationell samverkan;050504 2003;Nordiska ministerrådet;1997;;303,7;;;;267,9331758;;35,7668242;05;Utrikesförvaltning och internationell samverkan;05B002;Nordiska ministerrådet
05;Internationell samverkan;050505 2003;Organisationen för ekonomiskt samarbete och utveckling (OECD);1997;;24,207;;;;18,51249318;;5,69450682;05;Utrikesförvaltning och internationell samverkan;05B003;Organisationen för ekonomiskt samarbete och utveckling (OECD
05;Internationell samverkan;050509 2003;Utredningar och andra insatser på det utrikespolitiska området;1997;;2,322;;;;0,14146205;;2,18053795;05;Utrikesförvaltning och internationell samverkan;05D001;Utredningar och andra insatser på det utrikespolitiska områd
05;Internationell samverkan;050510 2003;Information och studier om säkerhetspolitik och fredsfrämjande utveckling;1997;;9,25;;;;8,85976946;;0,39023054;05;Utrikesförvaltning och internationell samverkan;05D002;Information och studier om säkerhetspolitik och fredsfrämjan
05;Internationell samverkan;050512 2003;Forskning till stöd för nedrustning och internationell säkerhet;1997;;12,235;;;;12,00205614;;0,23294386;05;Utrikesförvaltning och internationell samverkan;05D004;Forskning till stöd för nedrustning och internationell säker
05;Internationell samverkan;050514 2003;Forskningsverksamhet av särskild utrikes- och säkerhetspolitisk betydelse;1997;;3,597;;;;3,477;;0,12;05;Utrikesförvaltning och internationell samverkan;05D006;Forskningsverksamhet av särskild utrikes o säkerhetspolitisk
05;Internationell samverkan;050516 2003;Europainformation m.m.;1997;;8,8;;;;8,39564419;;0,40435581;05;Utrikesförvaltning och internationell samverkan;05E003;Europainformation m m
09;Hälsovård, sjukvård och social omsorg;05C002 9596;Insatser mot aids;1997;30,61053112;;;-7,596668;;19,89482997;;3,11903315;09;Hälsovård, sjukvård och social omsorg;05C002 9596;Insatser mot aids
09;Hälsovård, sjukvård och social omsorg;05C009 9596;Allmänt bidrag till hälso- och sjukvården;1997;7,0804888;;;;;6,618;;0,4624888;09;Hälsovård, sjukvård och social omsorg;05C009 9596;Allmänt bidrag till hälso- och sjukvården
09;Hälsovård, sjukvård och social omsorg;05C011 9596;Information om organdonation m.m.;1997;0,01424096;;;;;0,01424096;;0;09;Hälsovård, sjukvård och social omsorg;05C011 9596;Information om organdonation m m
09;Hälsovård, sjukvård och social omsorg;05D001 9596;Stimulansbidrag till särskilda boendeformer och rehabiliteri;1997;228,073061;;;-90;;73,362;;64,711061;09;Hälsovård, sjukvård och social omsorg;05D001 9596;Stimulansbidrag till särskilda boendeformer och rehabiliteri
09;Hälsovård, sjukvård och social omsorg;05D005 9596;Bidrag till viss verksamhet för personer med funktionshinder;1997;0,595048;;;-3,494026;;-2,898978;;0;09;Hälsovård, sjukvård och social omsorg;05D005 9596;Bidrag till viss verksamhet för personer med funktionshinder
09;Hälsovård, sjukvård och social omsorg;05D007 9394;Bidrag till husläkarsystem m.m.;1997;6,610288;;;-6,610288;;0;;0;09;Hälsovård, sjukvård och social omsorg;05D007 9394;Bidrag till husläkarsystem m m
09;Hälsovård, sjukvård och social omsorg;05D008 9394;Bidrag till kvalitet i äldrevården;1997;6,67820934;;;;;5,295459;;1,38275034;09;Hälsovård, sjukvård och social omsorg;05D008 9394;Bidrag till kvalitet i äldrevården
09;Hälsovård, sjukvård och social omsorg;05E001 9596;Bidrag till missbrukarvård och ungdomsvård;1997;0,40963047;;;;;0,402112;;0,00751847;09;Hälsovård, sjukvård och social omsorg;05E001 9596;Bidrag till missbrukarvård och ungdomsvård
05;Internationell samverkan;05E002 1997;Bidrag till Stiftelsen Östekonomiska institutet;1997;;4,636;;;;4,636;;;05;Utrikesförvaltning och internationell samverkan;05E002;Bidrag till Stiftelsen Östekonomiska institutet
09;Hälsovård, sjukvård och social omsorg;05E002 9596;Bidrag till organisationer;1997;0,21152;;;;;0,21152;;0;09;Hälsovård, sjukvård och social omsorg;05E002 9596;Bidrag till organisationer
05;Internationell samverkan;05E004 1997;Bidrag till organisationer för mänskliga rättigheter och fol;1997;;2,548;;;;2,512375;;0,035625;05;Utrikesförvaltning och internationell samverkan;05E004;Bidrag till organisationer för mänskliga rättigheter och fol
09;Hälsovård, sjukvård och social omsorg;05E004 9596;Alkohol- och drogpolitiska åtgärder;1997;19,8075889;;;;;18,4289394;;1,3786495;09;Hälsovård, sjukvård och social omsorg;05E004 9596;Alkohol- och drogpolitiska åtgärder
05;Internationell samverkan;05E005 1997;Delegationen för översättning av EG:s regelverk;1997;;;2;;;2;;0;05;Utrikesförvaltning och internationell samverkan;05E005;Delegationen för översättning av EGs regelverk
09;Hälsovård, sjukvård och social omsorg;05F020 9596;Socialvetenskapliga forskningsrådet: Forskningsmedel;1997;0,13088096;;;;;0,13088096;;0;09;Hälsovård, sjukvård och social omsorg;05F020 9596;Socialvetenskapliga forskningsrådet: Forskningsmedel
14;Arbetsmarknad och arbetsliv;05G002 9596;Särskilda jämställdhetsåtgärder;1997;32,73614373;;;;;10,46325377;;22,27288996;14;Arbetsmarknad och arbetsliv;05G002 9596;Särskilda jämställdhetsåtgärder
06;Försvar och samhällets krisberedskap;0601006;Totalförsvarets plikt- och prövningsverk;1997;29,94333679;225,484;;;;233,66140752;;21,76592927;06;Totalförsvar;06D001;Totalförsvarets pliktverk
06;Försvar och samhällets krisberedskap;0601007;Officersutbildning m.m.;1997;10,970271;18,395;;;;24,88234123;;4,48292977;06;Totalförsvar;06D002;Försvarshögskolan
06;Försvar och samhällets krisberedskap;0601008;Försvarets radioanstalt;1997;-3,77549227;423,569;;;;424,07236128;;-4,27885355;06;Totalförsvar;06D003;Försvarets radioanstalt
06;Försvar och samhällets krisberedskap;0601010;Nämnder m.m.;1997;;7,612;;;;5,01995228;;2,59204772;06;Totalförsvar;06C002;Nämnder m.m.
06;Försvar och samhällets krisberedskap;0601010 2009;Stöd till frivilliga försvarsorganisationer inom totalförsvaret;1997;;98,771;;;;98,770416;;;06;Totalförsvar;06D006;Stöd till frivilliga försvarsorganisationer inom totalförsva
06;Försvar och samhällets krisberedskap;0602001;Kustbevakningen;1997;49,581326;394,15;;;;378,7807084;;64,9506176;06;Totalförsvar;06C001;Kustbevakningen
06;Försvar och samhällets krisberedskap;0602002;Förebyggande åtgärder mot jordskred och andra naturolyckor;1997;;25;;;;15,037572;;9,962428;06;Totalförsvar;06C004;Förebyggande åtgärder mot jordskred och andra naturolyckor
06;Försvar och samhällets krisberedskap;0602003;Ersättning för räddningstjänst m.m.;1997;;25;;;;17,78933545;;7,21066455;06;Totalförsvar;06C005;Ersättning för verksamhet vid räddningstjänst m m
06;Försvar och samhällets krisberedskap;0602005;Ersättning till SOS Alarm Sverige AB för alarmeringstjänst enligt avtal;1997;;140;;;;140;;0;22;Kommunikationer;22C004;Kostnader förenade med statens ägande i SOS Alarmering AB
